Stock Name,Code,Date,Price,Open,High,Low,Volume,Change%
Ayala Corp Pref B,ACPB2,"Oct 16, 2019",500,486,500,486,0.02K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 15, 2019",500,500,500,500,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 10, 2019",500,500,500,500,2.00K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 09, 2019",500,500,500,500,0.10K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 08, 2019",500,499.8,500,499.8,0.08K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 07, 2019",500,500,500,500,0.03K,-0.70%
Ayala Corp Pref B,ACPB2,"Oct 03, 2019",503.5,503.5,503.5,503.5,2.00K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 02, 2019",503.5,504,504,503.5,0.94K,-0.10%
Ayala Corp Pref B,ACPB2,"Oct 01, 2019",504,505.5,505.5,504,0.06K,-0.20%
Ayala Corp Pref B,ACPB2,"Sep 30, 2019",505,505,505,505,10.18K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 27, 2019",505,505,505,505,0.06K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 26, 2019",505,503.5,505,503.5,13.00K,0.30%
Ayala Corp Pref B,ACPB2,"Sep 25, 2019",503.5,503.5,503.5,503.5,4.13K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 24, 2019",503.5,505,505,503.5,11.99K,-0.10%
Ayala Corp Pref B,ACPB2,"Sep 23, 2019",504,504,504,504,1.20K,0.40%
Ayala Corp Pref B,ACPB2,"Sep 20, 2019",502,502,502,502,0.19K,0.30%
Ayala Corp Pref B,ACPB2,"Sep 18, 2019",500.5,501,501,500.5,0.10K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 17, 2019",500.5,500.5,500.5,500.5,0.20K,-0.79%
Ayala Corp Pref B,ACPB2,"Sep 16, 2019",504.5,504,504.5,504,0.95K,0.10%
Ayala Corp Pref B,ACPB2,"Sep 13, 2019",504,503,504,503,0.05K,-0.20%
Ayala Corp Pref B,ACPB2,"Sep 12, 2019",505,505,505,505,0.16K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 11, 2019",505,500.5,505,500.5,0.07K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 10, 2019",505,504.5,505,500.5,1.06K,0.20%
Ayala Corp Pref B,ACPB2,"Sep 06, 2019",504,504,504,504,0.03K,1.20%
Ayala Corp Pref B,ACPB2,"Sep 05, 2019",498,500,500,498,9.72K,-1.19%
Ayala Corp Pref B,ACPB2,"Sep 04, 2019",504,500,504,500,0.19K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 03, 2019",504,504,504,504,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 30, 2019",504,504,504,504,0.01K,0.80%
Ayala Corp Pref B,ACPB2,"Aug 29, 2019",500,503,504,500,0.06K,0.20%
Ayala Corp Pref B,ACPB2,"Aug 28, 2019",499,500,500,499,1.02K,-0.20%
Ayala Corp Pref B,ACPB2,"Aug 23, 2019",500,500,500,500,0.02K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 22, 2019",500,498,500,498,0.21K,-0.79%
Ayala Corp Pref B,ACPB2,"Aug 20, 2019",504,504,504,504,0.01K,1.20%
Ayala Corp Pref B,ACPB2,"Aug 19, 2019",498,498,498,498,0.20K,-1.39%
Ayala Corp Pref B,ACPB2,"Aug 16, 2019",505,505,505,500,1.03K,1.00%
Ayala Corp Pref B,ACPB2,"Aug 15, 2019",500,497,500,497,0.17K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 14, 2019",500,500,500,500,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 13, 2019",500,497,500,496,14.00K,0.20%
Ayala Corp Pref B,ACPB2,"Aug 08, 2019",499,498.8,499,498.8,2.55K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 07, 2019",499,497,499,497,0.28K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 06, 2019",499,499,499,499,0.10K,-0.20%
Ayala Corp Pref B,ACPB2,"Aug 02, 2019",500,498.6,500,498.6,2.00K,0.81%
Ayala Corp Pref B,ACPB2,"Aug 01, 2019",496,496,496,496,6.85K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 31, 2019",496,496,496,496,1.57K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 30, 2019",496,495,496,495,1.61K,-0.60%
Ayala Corp Pref B,ACPB2,"Jul 29, 2019",499,495,499,495,1.01K,0.20%
Ayala Corp Pref B,ACPB2,"Jul 25, 2019",498,495,498,495,2.11K,0.61%
Ayala Corp Pref B,ACPB2,"Jul 24, 2019",495,495,495,495,0.06K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 22, 2019",495,493,495,493,6.09K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 19, 2019",495,494,495,494,5.69K,0.61%
Ayala Corp Pref B,ACPB2,"Jul 18, 2019",492,493,493,492,28.51K,0.41%
